#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
9f21b120523941864d5c78016e4fae9d	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
eb7b29a2f748c61f1a0d50fc684ddf5d	k__Bacteria	Firmicutes	 c__Erysipelotrichi	 o__Erysipelotrichales	 f__Erysipelotrichaceae	 g__[Eubacterium]	 s__dolichum
7786876ab3a71f968071637f19a21263	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales			
c08489e007517659fe9112a4f25adf87	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Anaerotruncus	 s__
e8f9b2c4b7382c7ce6bb0d72a8d70cd8	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
755c13aed61e778e4ca4b61110decc2b	k__Bacteria	Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Rubellimicrobium	 s__
97b654d8bd13ca0beef3d7b939d9d455	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
9a44044552ef4b3f57c9c2791535c428	k__Bacteria	Tenericutes	 c__Mollicutes	 o__RF39	 f__	 g__	 s__
2f5ec89a25d4b087dc0c00ffa4ba8946	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
208134d9710bcf4724a053b364b131ae	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__ovatus
83ec17c8ff3a35fa17e6b01f3a60bb07	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
73209d4b67b45ada496e699f240fcce3	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae		
e2e204b1acf8c7b3db94d3e1babcae8c	k__Bacteria	Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Rikenellaceae	 g__	 s__
c4f449df4557bfb801a92e2c804dd0df	k__Bacteria	Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__	 s__
