q,Site1,Site2,DT,Non_lethal,Turnover
1,Sg.M.R.4.16S,Sg.M.H.10.16S,Rectum,Feces,0.417824139
1,Sg.M.R.5.16S,Sg.M.H.10.16S,Rectum,Feces,0.509759823
1,Sg.M.R.6.16S,Sg.M.H.10.16S,Rectum,Feces,0.580000632
1,Sg.M.R.7.16S,Sg.M.H.10.16S,Rectum,Feces,0.718715839
1,Sg.M.R.8.16S,Sg.M.H.10.16S,Rectum,Feces,0.595489385
1,Sg.M.R.9.16S,Sg.M.H.10.16S,Rectum,Feces,0.584246105
1,Sg.M.I.1.16S,Sg.M.H.2.16S,Small intestine,Feces,0.74458625
1,Sg.M.I.10.16S,Sg.M.H.2.16S,Small intestine,Feces,0.760210273
1,Sg.M.I.2.16S,Sg.M.H.2.16S,Small intestine,Feces,0.619265693
1,Sg.M.I.3.16S,Sg.M.H.2.16S,Small intestine,Feces,0.481774099
1,Sg.M.I.4.16S,Sg.M.H.2.16S,Small intestine,Feces,0.945371701
1,Sg.M.I.5.16S,Sg.M.H.2.16S,Small intestine,Feces,0.64449149
1,Sg.M.I.6.16S,Sg.M.H.2.16S,Small intestine,Feces,0.778674983
1,Sg.M.I.7.16S,Sg.M.H.2.16S,Small intestine,Feces,0.716583727
1,Sg.M.I.8.16S,Sg.M.H.2.16S,Small intestine,Feces,0.907403917
1,Sg.M.I.9.16S,Sg.M.H.2.16S,Small intestine,Feces,0.695020941
1,Sg.M.R.1.16S,Sg.M.H.2.16S,Rectum,Feces,0.729169227
1,Sg.M.R.10.16S,Sg.M.H.2.16S,Rectum,Feces,0.754432231
1,Sg.M.R.2.16S,Sg.M.H.2.16S,Rectum,Feces,0.518087455
1,Sg.M.R.3.16S,Sg.M.H.2.16S,Rectum,Feces,0.592613882
1,Sg.M.R.4.16S,Sg.M.H.2.16S,Rectum,Feces,0.856187117
1,Sg.M.R.5.16S,Sg.M.H.2.16S,Rectum,Feces,0.654097612
1,Sg.M.R.6.16S,Sg.M.H.2.16S,Rectum,Feces,0.572824924
1,Sg.M.R.7.16S,Sg.M.H.2.16S,Rectum,Feces,0.719086534
1,Sg.M.R.8.16S,Sg.M.H.2.16S,Rectum,Feces,0.624085521
1,Sg.M.R.9.16S,Sg.M.H.2.16S,Rectum,Feces,0.699620105
1,Sg.M.I.1.16S,Sg.M.H.3.16S,Small intestine,Feces,0.724239913
1,Sg.M.I.10.16S,Sg.M.H.3.16S,Small intestine,Feces,0.669575524
1,Sg.M.I.2.16S,Sg.M.H.3.16S,Small intestine,Feces,0.447662111
1,Sg.M.I.3.16S,Sg.M.H.3.16S,Small intestine,Feces,0.238523711
1,Sg.M.I.4.16S,Sg.M.H.3.16S,Small intestine,Feces,0.969460537
1,Sg.M.I.5.16S,Sg.M.H.3.16S,Small intestine,Feces,0.498755933
1,Sg.M.I.6.16S,Sg.M.H.3.16S,Small intestine,Feces,0.689022389
1,Sg.M.I.7.16S,Sg.M.H.3.16S,Small intestine,Feces,0.664100318
1,Sg.M.I.8.16S,Sg.M.H.3.16S,Small intestine,Feces,0.919115542
1,Sg.M.I.9.16S,Sg.M.H.3.16S,Small intestine,Feces,0.636747968
1,Sg.M.R.1.16S,Sg.M.H.3.16S,Rectum,Feces,0.626687621
1,Sg.M.R.10.16S,Sg.M.H.3.16S,Rectum,Feces,0.655783533
1,Sg.M.R.2.16S,Sg.M.H.3.16S,Rectum,Feces,0.154014695
1,Sg.M.R.3.16S,Sg.M.H.3.16S,Rectum,Feces,0.524001314
1,Sg.M.R.4.16S,Sg.M.H.3.16S,Rectum,Feces,0.945881982
1,Sg.M.R.5.16S,Sg.M.H.3.16S,Rectum,Feces,0.494968816
1,Sg.M.R.6.16S,Sg.M.H.3.16S,Rectum,Feces,0.478552914
1,Sg.M.R.7.16S,Sg.M.H.3.16S,Rectum,Feces,0.651489428
1,Sg.M.R.8.16S,Sg.M.H.3.16S,Rectum,Feces,0.518104319
1,Sg.M.R.9.16S,Sg.M.H.3.16S,Rectum,Feces,0.635020968
1,Sg.M.I.1.16S,Sg.M.H.4.16S,Small intestine,Feces,0.894327341
1,Sg.M.I.10.16S,Sg.M.H.4.16S,Small intestine,Feces,0.83734761
1,Sg.M.I.2.16S,Sg.M.H.4.16S,Small intestine,Feces,0.808004838
1,Sg.M.I.3.16S,Sg.M.H.4.16S,Small intestine,Feces,0.737205067
1,Sg.M.I.4.16S,Sg.M.H.4.16S,Small intestine,Feces,0.9704625
1,Sg.M.I.5.16S,Sg.M.H.4.16S,Small intestine,Feces,0.736595322
1,Sg.M.I.6.16S,Sg.M.H.4.16S,Small intestine,Feces,0.843134895
1,Sg.M.I.7.16S,Sg.M.H.4.16S,Small intestine,Feces,0.777116007
1,Sg.M.I.8.16S,Sg.M.H.4.16S,Small intestine,Feces,0.956609847
1,Sg.M.I.9.16S,Sg.M.H.4.16S,Small intestine,Feces,0.707327863
1,Sg.M.R.1.16S,Sg.M.H.4.16S,Rectum,Feces,0.862380596
1,Sg.M.R.10.16S,Sg.M.H.4.16S,Rectum,Feces,0.851137013
1,Sg.M.R.2.16S,Sg.M.H.4.16S,Rectum,Feces,0.747027041
1,Sg.M.R.3.16S,Sg.M.H.4.16S,Rectum,Feces,0.774046962
1,Sg.M.R.4.16S,Sg.M.H.4.16S,Rectum,Feces,0.243316303
1,Sg.M.R.5.16S,Sg.M.H.4.16S,Rectum,Feces,0.745664612
1,Sg.M.R.6.16S,Sg.M.H.4.16S,Rectum,Feces,0.653505296
1,Sg.M.R.7.16S,Sg.M.H.4.16S,Rectum,Feces,0.801416919
1,Sg.M.R.8.16S,Sg.M.H.4.16S,Rectum,Feces,0.658923671
1,Sg.M.R.9.16S,Sg.M.H.4.16S,Rectum,Feces,0.707458245
1,Sg.M.I.1.16S,Sg.M.H.5.16S,Small intestine,Feces,0.831631716
1,Sg.M.I.10.16S,Sg.M.H.5.16S,Small intestine,Feces,0.550721122
1,Sg.M.I.2.16S,Sg.M.H.5.16S,Small intestine,Feces,0.716672061
